y_prob,y_true
0.08914071,0
0.7500604,0
0.10403403,1
0.87492377,1
0.93005276,1
0.119515896,0
0.8439672,1
0.3885187,0
0.49528822,0
0.10540116,0
0.3397897,1
0.9589638,1
0.16980737,0
0.9999938,1
0.24984008,0
0.9999553,1
0.7359792,1
0.9983943,1
0.92277217,1
0.9574045,1
0.8621044,1
0.9964928,1
0.75603336,1
0.8571839,1
0.5993799,0
0.9929618,1
0.9946449,1
0.109003946,0
0.9952317,1
0.9999058,1
0.969949,1
0.9846624,1
0.4447674,0
0.44995672,0
0.33149707,0
0.08114879,0
0.23333465,0
0.08218091,0
0.113730796,1
0.23855284,0
0.3572054,0
0.154779,0
0.31317276,0
0.241686,0
0.1532532,0
0.041073672,0
0.4632958,0
0.44494292,1
0.752411,0
1.0,1
0.12863176,0
0.7022374,0
0.7268334,0
0.09658184,0
0.42740375,0
0.14935164,0
0.19105728,0
0.06633812,0
0.13411786,0
0.2894098,0
0.8897354,0
0.10608513,0
0.18834278,0
0.27665266,0
0.70279956,0
0.05731042,0
0.2278574,0
0.4773687,0
0.4231363,0
0.15206616,0
0.33955228,0
0.99998224,1
0.99023634,1
0.99512595,1
0.9776048,1
0.60811526,0
0.09843221,0
0.0654846,1
0.09891216,1
0.9996526,1
0.71749586,1
0.070299454,0
0.99952877,1
0.19032629,0
0.14123228,0
0.6464275,0
0.093340814,0
0.09485077,0
0.8104202,0
0.06264346,0
0.64335686,0
0.6923882,0
0.28296098,0
0.9999659,1
0.9997814,1
0.087246746,0
0.15367524,0
0.17324626,0
0.9993926,1
0.12487689,0
0.21433684,0
0.96550256,0
0.99999416,1
0.13124487,0
0.5628905,0
0.13367885,0
0.3624252,0
0.9991309,1
0.9072408,0
0.8413404,0
0.15256026,0
0.5816288,0
0.07294647,0
0.5436627,0
0.18110794,0
0.28085154,0
0.14358954,0
0.99891293,1
0.69570166,1
0.20283768,0
0.048670806,0
0.2834166,0
0.597944,0
0.34627923,0
0.2121818,0
0.8551229,0
0.30784842,1
0.09280265,0
0.4486594,0
0.08009654,0
0.9976078,1
0.22893128,0
0.26006645,0
0.9895566,1
0.0828333,0
0.12836604,1
0.10385762,0
0.19037652,0
0.99815553,1
0.95039064,0
0.37714177,0
0.7532137,1
0.043109264,0
0.12577602,0
0.69182587,1
0.99871874,1
0.25256944,0
0.19739798,0
0.17644231,1
0.9671815,0
0.8042581,0
0.27329302,0
0.12487644,0
0.18000315,0
0.93878466,0
0.14644499,0
0.10466047,0
0.4024287,0
0.2825323,0
0.5740264,0
0.081686996,0
0.21676873,0
0.50249153,0
0.17841436,0
0.5426341,1
0.680268,1
0.63016945,0
0.084186435,0
0.8487702,0
0.97219634,1
0.17570275,0
0.9992754,1
0.17570122,0
0.5440873,1
0.13697258,0
0.5664141,1
0.04996615,0
0.6149927,0
0.16540095,1
0.1795069,0
0.07739309,0
0.060612943,0
0.53414655,0
0.25397474,0
0.105222434,0
0.08422771,1
0.7065975,0
0.99987376,1
0.7099402,0
0.4143271,1
0.13782887,0
0.951157,1
0.17308196,0
0.19278449,0
0.9999851,1
0.9175621,1
0.07051701,0
0.85889846,0
0.8190133,1
0.23942411,0
0.1312791,1
0.13004051,0
0.11877832,0
0.14189522,0
0.9873564,1
0.22426511,0
0.9100493,1
0.66185105,1
0.59545726,0
0.9987816,1
0.16347954,0
0.35120118,1
0.09729916,0
0.082291774,0
0.2606856,1
0.1835122,1
0.37867802,1
0.61221313,0
0.22766551,0
0.9996613,1
0.2527333,1
0.37892252,0
0.71572095,0
0.99974567,1
0.9993315,1
0.9705678,1
0.32199642,1
0.9984414,1
0.15969257,0
0.98406464,1
0.37307772,0
0.876244,1
0.08920134,0
0.9797227,1
0.097645596,0
0.21997109,0
0.2400302,0
0.13633032,0
0.12811476,0
0.3640967,1
0.05281333,0
0.085874766,0
0.113320485,0
0.98809564,1
0.9844237,1
0.14886981,0
0.97097397,1
0.17944139,0
0.30839688,0
0.9760202,0
0.4996949,0
0.16986658,0
0.92978936,0
0.31354922,0
0.11087764,1
0.39887753,0
0.6556809,0
0.43177688,1
0.13560678,0
0.22474703,0
0.61207056,1
0.19767553,1
0.2592157,1
0.09755362,0
0.9999993,1
0.9941796,1
0.17697453,1
0.9943178,1
0.06905106,0
0.12291742,0
0.123178124,1
0.3148927,0
0.19103174,0
0.24086846,1
0.989746,1
0.80025184,1
0.3117937,0
0.04856851,0
0.35305262,0
0.09603228,0
0.28434667,0
0.23875503,0
0.08340876,0
0.06122797,0
0.10096273,0
0.11888925,0
0.90071225,0
0.28717747,0
0.22770877,0
0.10563772,0
0.35843286,0
0.9999933,1
0.20527185,0
0.14593683,0
0.19302379,0
0.19445492,0
0.1220974,0
0.12808199,0
0.19382934,0
0.30377793,0
0.6403877,0
0.05103177,0
0.13075194,0
0.64908355,0
0.12759687,0
0.096345015,0
0.14312087,0
0.15880483,0
0.13552253,0
0.288159,0
0.26590756,0
0.87350607,0
0.4250222,0
0.23747091,0
0.26723245,0
0.28147432,0
0.0559851,0
0.24548373,0
0.22015534,0
0.71488047,1
0.3331957,0
0.54239726,0
0.05316794,0
0.6839223,1
0.066512235,0
0.12090826,0
0.047425505,0
0.484288,0
0.17642863,0
0.5380547,0
0.15158266,0
0.57864344,0
0.123641774,0
0.4791865,0
0.08213851,0
0.4651159,0
0.0811454,0
0.04502475,0
0.31924796,0
0.9088997,0
0.41546622,0
0.2891146,0
0.07817459,0
0.28618062,0
0.058944516,0
0.23655738,0
0.5147434,1
0.08968597,0
0.5229099,0
0.44785386,1
0.7320418,0
0.296107,0
0.9193044,1
0.07417672,0
0.1533381,0
0.121887125,0
0.24847323,1
0.3485314,1
0.15705884,0
0.8162806,0
0.40874347,1
0.9999008,1
0.98908967,1
0.9996252,1
0.618545,1
0.3899618,0
0.91408896,1
0.21593575,0
0.8910323,0
0.08952718,0
0.14008962,0
0.94729626,1
0.17156747,0
0.95053506,0
0.15363465,0
0.12875174,0
0.11548906,0
0.05633835,0
0.81392425,0
0.39175478,0
0.9126574,1
0.0683211,0
0.06364663,0
0.123412095,0
0.07113867,0
0.17466025,0
0.7193918,1
0.20630206,0
0.053646542,0
0.37549806,0
0.15100229,0
0.15961282,0
0.070746414,0
0.109386,0
0.6973752,0
0.063378796,0
0.32182148,0
0.14023916,0
0.054688063,0
0.32954985,0
0.082536645,0
0.1674762,0
0.26131964,0
0.49775612,0
0.8678907,1
0.97393644,1
0.80576676,0
0.10787898,0
0.087158956,0
0.19732204,0
0.9993198,1
0.14794768,0
0.30806002,1
0.8266307,1
0.30914915,0
0.9998248,1
0.23792963,0
0.31981415,0
0.41015232,0
0.12539473,0
0.2924003,0
0.08931223,0
0.091416314,0
0.42819777,0
0.40229964,0
0.09302626,0
0.08429384,0
0.25504068,0
0.11423903,0
0.05395056,0
0.10077047,0
0.62114674,0
0.33669186,0
0.14179778,0
0.83598316,0
0.5818232,0
0.23804267,0
0.16454743,0
0.4751853,0
0.06476396,0
0.60290754,0
0.56808984,0
0.38214806,0
0.48475257,1
0.17617138,0
0.82998085,0
0.09629968,0
0.15120569,1
0.9999647,1
0.35181227,1
0.32962334,0
0.9589548,1
0.09877072,1
0.53788733,0
0.11208679,0
0.13525766,0
0.38576922,0
0.93731046,0
0.20538598,0
0.17983113,0
0.26289043,1
0.48170757,1
0.28243154,0
0.29317886,1
0.21564898,0
0.056243353,1
0.08265554,0
0.2114508,1
0.20894761,0
0.13524945,0
0.07120746,0
0.07279973,0
0.23038903,0
0.08790054,0
0.17126551,0
0.12375059,0
0.15586692,0
0.117808565,0
0.05074476,0
0.3213246,0
0.17143686,0
0.2210545,0
0.5683997,0
0.09981325,0
0.46218228,0
0.5959693,0
0.36571053,1
0.6435706,0
0.98738956,1
0.37118858,0
0.48289672,0
0.13219464,0
0.13332383,0
0.28061327,0
0.17317836,0
0.11671327,0
0.12743017,0
0.13329381,0
0.34568492,0
0.11935786,0
0.94049394,0
0.2605356,0
0.6803364,0
0.071948074,0
0.16961387,0
0.6371544,0
0.92293125,0
0.090898804,0
0.3051386,0
0.34444705,0
0.07760865,0
0.14267091,0
0.72428197,0
0.51815486,0
0.33628282,0
0.22336769,0
0.08596255,0
0.88033414,0
0.08181794,0
0.24525176,0
0.61504483,0
0.49038455,0
0.08917163,0
0.15012415,0
0.7474759,0
0.5422892,0
0.25101617,0
0.13329622,0
0.053996243,0
0.83550864,0
0.16707642,0
0.17340748,0
0.54731536,0
0.059575085,0
0.16806306,0
0.44134557,0
0.12140556,0
0.36749667,0
0.20886032,0
0.20694634,0
0.43516493,0
0.08273082,0
0.4653389,0
0.13897799,0
0.13255467,1
0.07851631,0
0.10811013,0
0.9564331,1
0.19330159,0
0.20672616,0
0.984718,0
0.5709569,0
0.20755768,0
0.98447335,1
0.1640211,0
0.096519046,0
0.9807889,1
0.093446404,0
0.48836237,1
0.07100426,0
0.14338334,0
0.308182,0
0.26670098,0
0.1527199,0
0.19923551,0
0.089954756,0
0.17678478,0
0.113628134,0
0.18486631,0
0.23379229,0
0.29610878,0
0.26368013,0
0.38718024,0
0.2329082,0
0.09225799,0
0.9986696,1
0.999959,1
0.6103425,0
0.34017146,1
0.48531517,1
0.122090906,0
0.97384137,0
0.9067004,0
0.059599105,0
0.99992514,1
0.99156755,1
0.9999987,1
0.97622174,1
0.21478748,0
0.14518793,0
0.89855707,1
0.13841125,1
0.4071761,1
0.7628294,1
0.39768577,1
0.11636372,0
0.9971706,1
0.33228025,0
0.9814528,1
0.35157117,0
0.30402094,0
0.2737236,0
0.27630478,0
0.19154088,1
0.999537,1
0.8928795,0
