y_prob,y_true
0.627500,0
0.375015,0
0.971403,1
0.919877,1
0.874658,1
0.513873,0
0.911372,1
0.976233,1
0.855746,1
0.584002,0
0.420390,0
0.929725,1
0.611505,0
0.395882,0
0.840886,1
0.935621,1
0.910086,1
0.911521,1
0.417380,0
0.886607,1
0.928909,1
0.510280,0
0.904515,1
0.875266,1
0.437768,0
0.869826,1
0.658549,0
0.852975,1
0.506351,0
0.373156,0
0.871349,1
0.894221,1
0.907358,1
0.422981,0
0.455698,0
0.940035,1
0.935245,1
0.408813,0
0.880664,1
0.399500,0
0.584317,0
0.436618,0
0.523759,0
0.297933,0
0.848445,1
0.859381,1
0.521625,0
0.347634,0
0.483403,0
0.415660,0
0.876512,1
0.912676,1
0.853685,1
0.848103,0
0.909628,1
0.258877,0
0.899583,1
0.155313,0
0.906520,1
0.463116,0
0.864750,1
0.885392,1
0.477508,0
0.863527,1
0.376779,0
0.472786,0
0.368636,0
0.882259,1
0.678859,0
0.936415,1
0.425729,0
0.910857,1
0.921265,1
0.438931,0
0.879791,1
0.527568,0
0.891619,1
0.908072,1
0.924054,1
0.581609,0
0.828468,1
0.446524,0
0.912913,1
0.888803,1
0.456181,0
0.934096,1
0.464878,0
0.267056,0
0.278113,0
0.353872,0
0.845790,1
0.382596,0
0.839368,1
0.468288,0
0.631070,0
0.488212,0
0.896273,1
0.271886,0
0.929185,1
0.903939,1
0.463102,0
0.858974,1
0.915330,1
0.866719,1
0.519918,0
0.473856,0
0.935093,1
0.297799,0
0.907817,0
0.871035,1
0.368420,0
0.381606,0
0.347271,0
0.327649,0
0.963484,1
0.923721,1
0.913620,1
0.864891,1
0.349929,0
0.394416,0
0.906422,1
0.503998,0
0.669898,0
0.929081,1
0.321833,0
0.874782,1
0.612547,0
0.503354,0
0.160337,0
0.911594,1
0.894612,1
0.205951,0
0.925509,1
0.506151,0
0.941437,1
0.967649,1
0.377108,0
0.876414,1
0.909105,1
0.889027,1
0.682626,0
0.583619,0
0.252413,0
0.880103,1
0.531245,0
0.912993,1
0.887101,1
0.891186,1
0.924760,1
0.889019,1
0.308276,0
0.753510,0
0.882569,1
0.722740,0
0.900917,1
0.888126,1
0.925555,1
0.905745,1
0.940943,1
0.899952,1
0.474967,0
0.387132,0
0.395012,0
0.915680,1
0.929128,1
0.471046,0
0.389686,0
0.918985,1
0.464489,0
0.332879,0
0.500961,0
0.887247,1
0.375440,0
0.343696,0
0.896252,1
0.478109,0
0.363456,0
0.913169,1
0.492188,0
0.899895,1
0.892888,1
0.475995,0
0.910448,1
0.904847,1
0.614016,0
0.886836,1
0.875807,1
0.893888,1
0.517793,0
0.916633,1
0.984377,1
0.407892,0
0.872475,1
0.452972,0
0.960688,1
0.887987,1
0.959336,1
0.574328,0
0.475384,0
0.929834,1
0.935091,1
0.334162,0
0.468347,0
0.950513,1
0.294118,0
0.437501,0
0.923476,1
0.923658,1
0.891893,1
0.896540,1
0.404742,0
0.920991,1
0.461101,0
0.955610,1
0.332970,0
0.921565,1
0.877206,1
0.915752,1
0.893775,1
0.929798,1
0.585439,0
0.854368,1
0.915405,1
0.375200,0
0.905311,1
0.856971,1
0.929731,1
0.930759,1
0.885583,1
0.371406,0
0.372166,0
0.438009,0
0.963669,1
0.899410,1
0.910746,1
0.884979,1
0.515563,0
0.555592,0
0.925361,1
0.444871,0
0.881198,1
0.645374,0
0.929140,1
0.933759,1
0.080235,0
0.854747,1
0.787462,0
0.896061,1
0.906548,1
0.868661,1
0.420030,0
0.885774,1
0.919614,1
0.901133,1
0.611556,0
0.875484,1
0.869917,1
0.483807,0
0.860126,1
0.317716,0
0.316553,0
0.317518,0
0.401146,0
0.878171,1
0.296576,0
0.357038,0
0.930280,1
0.413313,0
0.190935,0
0.593338,0
0.301423,0
0.415182,0
0.645413,0
0.901903,1
0.559473,0
0.493994,0
0.876306,1
0.898949,1
0.379441,0
0.523339,0
0.400473,0
0.479645,0
0.886874,1
0.214621,0
0.428189,0
0.651198,0
0.942963,1
0.887202,1
0.934924,1
0.914937,1
0.891754,1
0.192406,0
0.881644,1
0.569530,0
0.620139,0
0.853755,1
0.872005,1
0.943099,1
0.307787,0
0.892314,1
0.884332,1
0.233183,0
0.329022,0
0.362303,0
0.866248,1
0.893207,1
0.245277,0
0.863892,1
0.909975,1
0.495679,0
0.942505,1
0.621778,0
0.772222,0
0.268164,0
0.915085,1
0.370823,0
0.553104,0
0.915748,1
0.912661,1
0.938689,1
0.931337,1
0.903526,1
0.342627,0
0.200074,0
0.913618,1
0.862059,1
0.327745,0
0.199713,0
0.373255,0
0.363239,0
0.500780,0
0.744439,0
0.414464,0
0.263540,0
0.890987,1
0.358486,0
0.909710,1
0.522933,0
0.416910,0
0.922114,1
0.609181,0
0.894069,1
0.416091,0
0.309445,0
0.888795,1
0.429482,0
0.887802,1
0.472980,0
0.918167,1
0.331323,0
0.897257,1
0.893792,1
0.352660,0
0.438262,0
0.530033,0
0.369175,0
0.887259,1
0.898975,1
0.947651,1
0.585820,0
0.884100,1
0.342380,0
0.919314,1
0.902963,1
0.289855,0
0.852779,1
0.920303,1
0.925310,1
0.452305,0
0.895774,1
0.918528,1
0.917619,1
0.486738,0
0.447507,0
0.227567,0
0.457574,0
0.360625,0
0.411390,0
0.890150,1
0.909068,1
0.344088,0
0.877357,1
0.537821,0
0.578491,0
0.542209,0
0.957180,1
0.920419,1
0.926366,1
0.248334,0
0.526728,0
0.338301,0
0.898741,1
0.462382,0
0.529731,0
0.941017,1
0.610711,0
0.533507,0
0.915795,1
0.901372,1
0.935243,1
0.547800,0
0.874627,1
0.866505,1
0.482083,0
0.906360,1
0.893120,1
0.643097,0
0.358332,0
0.403246,0
0.906038,1
0.568852,0
0.903929,1
0.538373,0
0.389033,0
0.497237,0
0.413873,0
0.290477,0
0.909995,1
0.880531,1
0.643016,0
0.358058,0
0.921449,1
0.840708,1
0.903092,1
0.392685,0
0.503460,0
0.948247,1
0.180459,0
0.685536,0
0.923361,1
0.454232,0
0.577556,0
0.613326,0
0.490274,0
0.439700,0
0.548333,0
0.907462,1
0.391524,0
0.919208,1
0.912042,1
0.894591,1
0.386974,0
0.238926,0
0.857854,1
0.389080,0
0.902656,1
0.935129,1
0.882943,1
0.884254,1
0.898350,1
0.351913,0
0.479507,0
0.399129,0
0.667676,0
0.476174,0
0.248648,0
0.905005,1
0.531105,0
0.422728,0
0.549859,0
0.875231,1
0.534242,0
0.353343,0
0.873953,1
0.932049,1
0.905545,1
0.891326,1
0.455068,0
0.473857,0
0.888246,1
0.883653,1
0.929245,1
0.887837,1
0.554462,0
0.880097,1
0.425030,0
0.907799,1
0.897412,1
