y_prob,y_true
0.602977,1
0.786206,1
0.613676,1
0.636281,1
0.542022,0
0.425738,0
0.606024,1
0.326357,0
0.741656,1
0.419267,0
0.749019,1
0.322778,0
0.550630,0
0.720568,1
0.781751,1
0.726191,1
0.690187,1
0.721693,1
0.227448,0
0.737245,1
0.316195,0
0.566422,1
0.429018,0
0.352950,1
0.613143,1
0.508250,0
0.586816,1
0.377379,0
0.684080,1
0.819425,1
0.698821,1
0.900790,1
0.706330,1
0.536229,1
0.524326,0
0.692638,1
0.491456,0
0.623764,1
0.789996,1
0.593505,1
0.636168,1
0.579107,1
0.376412,0
0.661397,1
0.673109,1
0.828600,1
0.584626,1
0.520374,1
0.228286,0
0.680162,1
0.368950,0
0.339466,0
0.415024,0
0.873348,1
0.465080,0
0.336928,0
0.204816,0
0.335003,0
0.819684,1
0.703617,1
0.689280,1
0.730949,1
0.569250,1
0.730131,1
0.784406,1
0.414728,0
0.642350,1
0.744030,1
0.758164,1
0.640780,1
0.845333,1
0.626271,1
0.313245,0
0.477024,0
0.435359,0
0.462333,0
0.316988,0
0.558220,1
0.339729,0
0.791713,1
0.715555,1
0.197105,0
0.561791,1
0.701478,1
0.724049,0
0.598012,1
0.723678,1
0.211520,0
0.902670,1
0.241484,0
0.471210,1
0.737739,1
0.746915,1
0.923505,1
0.789909,1
0.816407,1
0.235332,0
0.677196,1
0.340775,0
0.643800,1
0.809693,1
0.879853,1
0.397560,0
0.736814,1
0.407204,0
0.578864,1
0.831186,1
0.445688,0
0.387542,0
0.868532,1
0.422454,0
0.423012,0
0.407552,0
0.753325,1
0.411124,0
0.670448,1
0.693937,1
0.731543,1
0.748097,1
0.619924,1
0.362973,0
0.273683,0
0.425667,0
0.522142,0
0.530577,0
0.830656,1
0.399424,0
0.658074,1
0.761548,1
0.397372,0
0.727191,1
0.787138,1
0.415507,0
0.628610,1
0.362639,0
0.648121,1
0.708066,1
0.718783,1
0.685931,1
0.382263,0
0.463073,0
0.654207,1
0.156374,0
0.737395,1
0.409253,0
0.646440,1
0.625964,1
0.634646,1
0.445675,0
0.748120,1
0.324749,0
0.492797,0
0.549647,1
0.702476,1
0.272792,0
0.656599,1
0.302804,0
0.658272,1
0.676847,1
0.656058,1
0.567072,0
0.316788,0
0.208257,0
0.453299,0
0.555298,1
0.538110,0
0.476327,0
0.879430,1
0.315111,0
0.329514,0
0.554755,1
0.678840,1
0.409285,0
0.657738,1
0.289270,0
