y_prob,y_true
0.085849,0
0.017847,0
0.754520,1
0.882174,1
0.860286,1
0.785316,1
0.100828,0
0.123398,0
0.128871,0
0.823497,1
0.095097,0
0.738385,1
0.782743,1
0.701426,1
0.119145,0
0.167646,0
0.776605,1
0.782890,1
0.091374,0
0.057887,0
0.855185,1
0.753909,1
0.094014,0
0.122553,0
0.745996,1
0.136411,0
0.801103,1
0.654776,1
0.784696,1
0.096155,0
0.096823,1
0.095867,0
0.082591,0
0.168751,0
0.069879,0
0.121194,0
0.783075,1
0.092744,0
0.164170,0
0.098800,0
0.808180,1
0.077244,0
0.768144,1
0.139688,0
0.143458,0
0.694432,1
0.775572,1
0.048313,0
0.716336,1
0.852982,1
0.121456,0
0.852032,1
0.129434,0
0.817459,1
0.789822,1
0.796268,0
0.060154,0
0.821592,1
0.718195,1
0.148838,0
0.075989,0
0.142911,0
0.084211,0
0.119609,0
0.154631,0
0.732508,1
0.078951,0
0.807623,1
0.082851,0
0.057033,0
0.782760,1
0.115907,0
0.106146,0
0.087487,0
0.923417,1
0.121249,0
0.057940,0
0.092119,0
0.804051,1
0.119519,0
0.155108,0
0.740956,1
0.128860,0
0.739117,1
0.800604,1
0.753641,1
0.832920,1
0.080542,0
0.175740,0
0.072147,0
0.103537,0
0.097192,0
0.121103,0
0.030876,0
0.809616,1
0.775281,1
0.100190,0
0.825404,1
0.124834,0
0.043657,0
0.120972,0
0.127185,0
0.102421,0
0.162108,1
0.850881,1
0.059501,0
0.817785,1
0.741476,1
0.121411,0
0.785538,1
0.753360,1
0.161347,0
0.102392,0
0.124196,0
0.733357,1
0.735618,1
0.912121,1
0.158370,0
0.641478,1
0.829759,1
0.084742,0
0.741172,1
0.128293,0
0.058766,0
0.689896,1
0.148681,0
0.201964,1
0.255481,0
0.878214,1
0.799642,1
0.774530,1
0.181261,0
0.206380,0
0.748227,1
0.077645,0
0.145158,0
0.778680,1
0.091087,0
0.169787,0
0.161186,0
0.799496,1
0.104444,0
0.665846,1
0.744794,1
0.144948,0
0.128143,0
0.122172,1
0.817927,1
0.098910,0
0.952147,1
0.112321,0
0.778904,1
0.138621,0
0.765433,1
0.066317,0
0.123910,0
0.149684,0
0.705223,1
0.777622,1
0.133551,0
0.740564,1
0.821975,1
0.803033,1
0.776648,1
0.709134,1
0.155559,0
0.921979,1
0.697684,1
0.092305,0
0.783432,1
0.138430,0
0.746001,1
0.764659,1
0.704997,1
0.821835,1
0.091141,0
0.076258,0
0.151557,0
0.844565,1
0.160997,0
0.762859,1
0.120496,0
0.730654,1
0.109688,0
0.119108,0
